read from x2_20.txt(100000,)TPS: 62500, ETA: 1 minute, 19 seconds
TPS: 3571, ETA: 23 minutes, 19 seconds
TPS: 5208, ETA: 15 minutes, 59 seconds
TPS: 6270, ETA: 13 minutes, 17 seconds
TPS: 6494, ETA: 12 minutes, 49 seconds
TPS: 6652, ETA: 12 minutes, 31 seconds
TPS: 6783, ETA: 12 minutes, 16 seconds
TPS: 6908, ETA: 12 minutes, 3 seconds
TPS: 7009, ETA: 11 minutes, 52 seconds
TPS: 7092, ETA: 11 minutes, 44 seconds
TPS: 7161, ETA: 11 minutes, 37 seconds
TPS: 7212, ETA: 11 minutes, 32 seconds
TPS: 7263, ETA: 11 minutes, 27 seconds
TPS: 7315, ETA: 11 minutes, 22 seconds
TPS: 7353, ETA: 11 minutes, 18 seconds
TPS: 7387, ETA: 11 minutes, 15 seconds
TPS: 7411, ETA: 11 minutes, 13 seconds
TPS: 7414, ETA: 11 minutes, 13 seconds
TPS: 7463, ETA: 11 minutes, 8 seconds
TPS: 7479, ETA: 11 minutes, 7 seconds
TPS: 7495, ETA: 11 minutes, 5 seconds
TPS: 7509, ETA: 11 minutes, 4 seconds
TPS: 7516, ETA: 11 minutes, 3 seconds
TPS: 7519, ETA: 11 minutes, 3 seconds
TPS: 7517, ETA: 11 minutes, 3 seconds
TPS: 7519, ETA: 11 minutes, 3 seconds
TPS: 7517, ETA: 11 minutes, 3 seconds
TPS: 7511, ETA: 11 minutes, 3 seconds
TPS: 7505, ETA: 11 minutes, 4 seconds
TPS: 7500, ETA: 11 minutes, 4 seconds
TPS: 7492, ETA: 11 minutes, 5 seconds
TPS: 7477, ETA: 11 minutes, 6 seconds
TPS: 7459, ETA: 11 minutes, 8 seconds
TPS: 7369, ETA: 11 minutes, 16 seconds
TPS: 7425, ETA: 11 minutes, 11 seconds
TPS: 7410, ETA: 11 minutes, 12 seconds
TPS: 7400, ETA: 11 minutes, 13 seconds
TPS: 7390, ETA: 11 minutes, 14 seconds
TPS: 7381, ETA: 11 minutes, 14 seconds
TPS: 7372, ETA: 11 minutes, 15 seconds
TPS: 7364, ETA: 11 minutes, 16 seconds
TPS: 7353, ETA: 11 minutes, 17 seconds
TPS: 7343, ETA: 11 minutes, 18 seconds
TPS: 7333, ETA: 11 minutes, 18 seconds
TPS: 7324, ETA: 11 minutes, 19 seconds
TPS: 7313, ETA: 11 minutes, 20 seconds
TPS: 7298, ETA: 11 minutes, 21 seconds
TPS: 7282, ETA: 11 minutes, 23 seconds
TPS: 7266, ETA: 11 minutes, 24 seconds
TPS: 7251, ETA: 11 minutes, 26 seconds
TPS: 7236, ETA: 11 minutes, 27 seconds
TPS: 7220, ETA: 11 minutes, 28 seconds
TPS: 7205, ETA: 11 minutes, 30 seconds
TPS: 7192, ETA: 11 minutes, 31 seconds
TPS: 7178, ETA: 11 minutes, 32 seconds
TPS: 7165, ETA: 11 minutes, 33 seconds
TPS: 7154, ETA: 11 minutes, 34 seconds
TPS: 7141, ETA: 11 minutes, 36 seconds
TPS: 7129, ETA: 11 minutes, 37 seconds
TPS: 7119, ETA: 11 minutes, 38 seconds
TPS: 7108, ETA: 11 minutes, 39 seconds
TPS: 7097, ETA: 11 minutes, 40 seconds
TPS: 7087, ETA: 11 minutes, 41 seconds
TPS: 7078, ETA: 11 minutes, 41 seconds
TPS: 7068, ETA: 11 minutes, 42 seconds
TPS: 7059, ETA: 11 minutes, 43 seconds
TPS: 7041, ETA: 11 minutes, 45 seconds
TPS: 7042, ETA: 11 minutes, 45 seconds
TPS: 7034, ETA: 11 minutes, 45 seconds
TPS: 7025, ETA: 11 minutes, 46 seconds
TPS: 7019, ETA: 11 minutes, 47 seconds
TPS: 7011, ETA: 11 minutes, 48 seconds
