read from x2_5.txt(100000,)TPS: 62500, ETA: 1 minute, 19 seconds
TPS: 3448, ETA: 24 minutes, 9 seconds
TPS: 5034, ETA: 16 minutes, 33 seconds
TPS: 6431, ETA: 12 minutes, 57 seconds
TPS: 6702, ETA: 12 minutes, 25 seconds
TPS: 6912, ETA: 12 minutes, 2 seconds
TPS: 7056, ETA: 11 minutes, 48 seconds
TPS: 7168, ETA: 11 minutes, 36 seconds
TPS: 7246, ETA: 11 minutes, 29 seconds
TPS: 7310, ETA: 11 minutes, 23 seconds
TPS: 7363, ETA: 11 minutes, 18 seconds
TPS: 7407, ETA: 11 minutes, 14 seconds
TPS: 7446, ETA: 11 minutes, 10 seconds
TPS: 7479, ETA: 11 minutes, 7 seconds
TPS: 7508, ETA: 11 minutes, 5 seconds
TPS: 7526, ETA: 11 minutes, 3 seconds
TPS: 7542, ETA: 11 minutes, 1 second
TPS: 7557, ETA: 11 minutes
TPS: 7570, ETA: 10 minutes, 59 seconds
TPS: 7582, ETA: 10 minutes, 58 seconds
TPS: 7587, ETA: 10 minutes, 57 seconds
TPS: 7591, ETA: 10 minutes, 57 seconds
TPS: 7591, ETA: 10 minutes, 57 seconds
TPS: 7590, ETA: 10 minutes, 57 seconds
TPS: 7585, ETA: 10 minutes, 57 seconds
TPS: 7576, ETA: 10 minutes, 58 seconds
TPS: 7572, ETA: 10 minutes, 58 seconds
TPS: 7563, ETA: 10 minutes, 59 seconds
TPS: 7552, ETA: 11 minutes
TPS: 7541, ETA: 11 minutes, 1 second
TPS: 7528, ETA: 11 minutes, 2 seconds
TPS: 7519, ETA: 11 minutes, 2 seconds
TPS: 7507, ETA: 11 minutes, 3 seconds
TPS: 7492, ETA: 11 minutes, 5 seconds
TPS: 7482, ETA: 11 minutes, 5 seconds
TPS: 7472, ETA: 11 minutes, 6 seconds
TPS: 7460, ETA: 11 minutes, 7 seconds
TPS: 7445, ETA: 11 minutes, 9 seconds
TPS: 7381, ETA: 11 minutes, 14 seconds
TPS: 7418, ETA: 11 minutes, 11 seconds
TPS: 7401, ETA: 11 minutes, 12 seconds
TPS: 7381, ETA: 11 minutes, 14 seconds
TPS: 7363, ETA: 11 minutes, 16 seconds
TPS: 7346, ETA: 11 minutes, 17 seconds
TPS: 7327, ETA: 11 minutes, 19 seconds
TPS: 7306, ETA: 11 minutes, 21 seconds
TPS: 7289, ETA: 11 minutes, 22 seconds
TPS: 7273, ETA: 11 minutes, 24 seconds
TPS: 7255, ETA: 11 minutes, 25 seconds
TPS: 7238, ETA: 11 minutes, 27 seconds
TPS: 7187, ETA: 11 minutes, 32 seconds
TPS: 7208, ETA: 11 minutes, 30 seconds
TPS: 7193, ETA: 11 minutes, 31 seconds
TPS: 7179, ETA: 11 minutes, 32 seconds
TPS: 7165, ETA: 11 minutes, 33 seconds
TPS: 7152, ETA: 11 minutes, 35 seconds
TPS: 7139, ETA: 11 minutes, 36 seconds
TPS: 7127, ETA: 11 minutes, 37 seconds
TPS: 7115, ETA: 11 minutes, 38 seconds
TPS: 7104, ETA: 11 minutes, 39 seconds
TPS: 7093, ETA: 11 minutes, 40 seconds
TPS: 7082, ETA: 11 minutes, 41 seconds
TPS: 7072, ETA: 11 minutes, 42 seconds
TPS: 7064, ETA: 11 minutes, 43 seconds
TPS: 7054, ETA: 11 minutes, 44 seconds
TPS: 7045, ETA: 11 minutes, 45 seconds
TPS: 7036, ETA: 11 minutes, 45 seconds
TPS: 7029, ETA: 11 minutes, 46 seconds
TPS: 7021, ETA: 11 minutes, 47 seconds
TPS: 7014, ETA: 11 minutes, 47 seconds
TPS: 7006, ETA: 11 minutes, 48 seconds
TPS: 7000, ETA: 11 minutes, 49 seconds
TPS: 6992, ETA: 11 minutes, 49 seconds
TPS: 6986, ETA: 11 minutes, 50 seconds
TPS: 6979, ETA: 11 minutes, 51 seconds
TPS: 6974, ETA: 11 minutes, 51 seconds
TPS: 6967, ETA: 11 minutes, 52 seconds
TPS: 6961, ETA: 11 minutes, 52 seconds
