read from x2_10.txt(100000,)TPS: 71429, ETA: 1 minute, 9 seconds
TPS: 3704, ETA: 22 minutes, 29 seconds
TPS: 5415, ETA: 15 minutes, 23 seconds
TPS: 6431, ETA: 12 minutes, 57 seconds
TPS: 6614, ETA: 12 minutes, 35 seconds
TPS: 6803, ETA: 12 minutes, 14 seconds
TPS: 6958, ETA: 11 minutes, 58 seconds
TPS: 7067, ETA: 11 minutes, 46 seconds
TPS: 7154, ETA: 11 minutes, 38 seconds
TPS: 7215, ETA: 11 minutes, 32 seconds
TPS: 7275, ETA: 11 minutes, 26 seconds
TPS: 7326, ETA: 11 minutes, 21 seconds
TPS: 7361, ETA: 11 minutes, 18 seconds
TPS: 7400, ETA: 11 minutes, 14 seconds
TPS: 7426, ETA: 11 minutes, 12 seconds
TPS: 7456, ETA: 11 minutes, 9 seconds
TPS: 7476, ETA: 11 minutes, 7 seconds
TPS: 7481, ETA: 11 minutes, 7 seconds
TPS: 7510, ETA: 11 minutes, 4 seconds
TPS: 7524, ETA: 11 minutes, 3 seconds
TPS: 7532, ETA: 11 minutes, 2 seconds
TPS: 7539, ETA: 11 minutes, 1 second
TPS: 7546, ETA: 11 minutes, 1 second
TPS: 7542, ETA: 11 minutes, 1 second
TPS: 7539, ETA: 11 minutes, 1 second
TPS: 7536, ETA: 11 minutes, 1 second
TPS: 7529, ETA: 11 minutes, 2 seconds
TPS: 7523, ETA: 11 minutes, 2 seconds
TPS: 7517, ETA: 11 minutes, 3 seconds
TPS: 7508, ETA: 11 minutes, 4 seconds
TPS: 7499, ETA: 11 minutes, 4 seconds
TPS: 7487, ETA: 11 minutes, 5 seconds
TPS: 7476, ETA: 11 minutes, 6 seconds
TPS: 7407, ETA: 11 minutes, 12 seconds
TPS: 7456, ETA: 11 minutes, 8 seconds
TPS: 7447, ETA: 11 minutes, 8 seconds
TPS: 7439, ETA: 11 minutes, 9 seconds
TPS: 7431, ETA: 11 minutes, 10 seconds
TPS: 7423, ETA: 11 minutes, 10 seconds
TPS: 7413, ETA: 11 minutes, 11 seconds
TPS: 7406, ETA: 11 minutes, 12 seconds
TPS: 7394, ETA: 11 minutes, 13 seconds
TPS: 7381, ETA: 11 minutes, 14 seconds
TPS: 7363, ETA: 11 minutes, 16 seconds
TPS: 7348, ETA: 11 minutes, 17 seconds
TPS: 7332, ETA: 11 minutes, 18 seconds
TPS: 7319, ETA: 11 minutes, 19 seconds
TPS: 7304, ETA: 11 minutes, 21 seconds
TPS: 7289, ETA: 11 minutes, 22 seconds
TPS: 7276, ETA: 11 minutes, 23 seconds
TPS: 7261, ETA: 11 minutes, 25 seconds
TPS: 7248, ETA: 11 minutes, 26 seconds
TPS: 7235, ETA: 11 minutes, 27 seconds
TPS: 7221, ETA: 11 minutes, 28 seconds
TPS: 7208, ETA: 11 minutes, 29 seconds
TPS: 7194, ETA: 11 minutes, 31 seconds
TPS: 7182, ETA: 11 minutes, 32 seconds
TPS: 7171, ETA: 11 minutes, 33 seconds
TPS: 7160, ETA: 11 minutes, 34 seconds
TPS: 7150, ETA: 11 minutes, 35 seconds
TPS: 7140, ETA: 11 minutes, 36 seconds
TPS: 7128, ETA: 11 minutes, 37 seconds
