read from x2_15.txt(100000,)TPS: 71429, ETA: 1 minute, 9 seconds
TPS: 3704, ETA: 22 minutes, 29 seconds
TPS: 5415, ETA: 15 minutes, 23 seconds
TPS: 6601, ETA: 12 minutes, 37 seconds
TPS: 6614, ETA: 12 minutes, 35 seconds
TPS: 6682, ETA: 12 minutes, 27 seconds
TPS: 6731, ETA: 12 minutes, 22 seconds
TPS: 6757, ETA: 12 minutes, 19 seconds
TPS: 6777, ETA: 12 minutes, 17 seconds
TPS: 6793, ETA: 12 minutes, 15 seconds
TPS: 6807, ETA: 12 minutes, 13 seconds
TPS: 6818, ETA: 12 minutes, 12 seconds
TPS: 6828, ETA: 12 minutes, 11 seconds
TPS: 6829, ETA: 12 minutes, 11 seconds
TPS: 6837, ETA: 12 minutes, 10 seconds
TPS: 6838, ETA: 12 minutes, 10 seconds
TPS: 6838, ETA: 12 minutes, 9 seconds
TPS: 6752, ETA: 12 minutes, 19 seconds
TPS: 6839, ETA: 12 minutes, 9 seconds
TPS: 6840, ETA: 12 minutes, 9 seconds
TPS: 6840, ETA: 12 minutes, 9 seconds
TPS: 6837, ETA: 12 minutes, 9 seconds
TPS: 6833, ETA: 12 minutes, 10 seconds
TPS: 6830, ETA: 12 minutes, 10 seconds
TPS: 6819, ETA: 12 minutes, 11 seconds
TPS: 6810, ETA: 12 minutes, 12 seconds
TPS: 6801, ETA: 12 minutes, 13 seconds
TPS: 6790, ETA: 12 minutes, 14 seconds
TPS: 6779, ETA: 12 minutes, 15 seconds
TPS: 6769, ETA: 12 minutes, 16 seconds
TPS: 6757, ETA: 12 minutes, 17 seconds
TPS: 6745, ETA: 12 minutes, 18 seconds
TPS: 6737, ETA: 12 minutes, 19 seconds
TPS: 6727, ETA: 12 minutes, 20 seconds
TPS: 6718, ETA: 12 minutes, 21 seconds
TPS: 6709, ETA: 12 minutes, 22 seconds
TPS: 6700, ETA: 12 minutes, 23 seconds
TPS: 6695, ETA: 12 minutes, 24 seconds
TPS: 6687, ETA: 12 minutes, 24 seconds
TPS: 6680, ETA: 12 minutes, 25 seconds
TPS: 6673, ETA: 12 minutes, 26 seconds
TPS: 6667, ETA: 12 minutes, 26 seconds
TPS: 6660, ETA: 12 minutes, 27 seconds
TPS: 6655, ETA: 12 minutes, 28 seconds
TPS: 6647, ETA: 12 minutes, 28 seconds
TPS: 6640, ETA: 12 minutes, 29 seconds
TPS: 6635, ETA: 12 minutes, 30 seconds
TPS: 6628, ETA: 12 minutes, 30 seconds
TPS: 6623, ETA: 12 minutes, 31 seconds
TPS: 6617, ETA: 12 minutes, 31 seconds
TPS: 6613, ETA: 12 minutes, 32 seconds
TPS: 6607, ETA: 12 minutes, 32 seconds
TPS: 6602, ETA: 12 minutes, 33 seconds
TPS: 6597, ETA: 12 minutes, 33 seconds
TPS: 6592, ETA: 12 minutes, 34 seconds
TPS: 6588, ETA: 12 minutes, 34 seconds
TPS: 6584, ETA: 12 minutes, 35 seconds
TPS: 6579, ETA: 12 minutes, 35 seconds
TPS: 6575, ETA: 12 minutes, 36 seconds
TPS: 6572, ETA: 12 minutes, 36 seconds
TPS: 6568, ETA: 12 minutes, 36 seconds
TPS: 6564, ETA: 12 minutes, 37 seconds
TPS: 6561, ETA: 12 minutes, 37 seconds
TPS: 6557, ETA: 12 minutes, 37 seconds
TPS: 6554, ETA: 12 minutes, 37 seconds
TPS: 6552, ETA: 12 minutes, 38 seconds
TPS: 6548, ETA: 12 minutes, 38 seconds
TPS: 6546, ETA: 12 minutes, 38 seconds
TPS: 6543, ETA: 12 minutes, 38 seconds
